.	.	.	.	.	1
Rowland	Rowland	np1	Rowland	Rowland	0
Griffyn	Griffyn	n1	Griffyn	griffyn	0
.	.	.	.	.	1
William	William	np1	William	William	0
Millard	Millard	np1	Millard	Millard	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
John	John	np1	John	John	0
Twit	Twit	vvi	Twit	twit	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Edward	Edward	np1	Edward	Edward	0
Seclemore	Seclemore	np1	Seclemore	Seclemore	0
.	.	.	.	.	1
John	John	np1	John	John	0
Anwike	Anwike	np1	Anwike	Anwike	0
.	.	.	.	.	1
Christopher	Christopher	np1	Christopher	Christopher	0
Marshall	Marshall	j	Marshal	martial	0
.	.	.	.	.	1
David	David	np1	David	David	0
Williams	Williams	np1	Williams	Williams	0
.	.	.	.	.	1
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
Swabber	Swabber	n1	Swabber	swabber	0
.	.	.	.	.	1
Edward	Edward	np1	Edward	Edward	0
Chipping	Chipping	np1	Chipping	Chipping	0
.	.	.	.	.	1
Silvester	Silvester	np1	Silvester	Silvester	0
Beching	Beching	vvg	Beching	bech	0
.	.	.	.	.	1
Vincent	Vincent	np1	Vincent	Vincent	0
Cheyne	Cheyne	np1	Cheyne	Cheyne	0
.	.	.	.	.	1
Hance	Hance	np1	Hance	Hance	0
Walters	Walters	vvz	Walters	welter	0
.	.	.	.	.	1
Edward	Edward	np1	Edward	Edward	0
Barecombe	Barecombe	np1	Barecombe	Barecombe	0
.	.	.	.	.	1
Thomas	Thomas	np1	Thomas	Thomas	0
Skeuelabs	Skeuelabs	vvz	Skeuelabs	skeuelab	0
.	.	.	.	.	1
William	William	np1	William	William	0
Walters	Walters	vvz	Walters	welter	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
.	.	.	.	.	1
