id,violcount
09_01_12,1
09_01_13,6.5
09_01_14,7.0
09_01_15,0
09_01_16,1.5
09_01_17,2.0
09_01_18,8.0
09_01_19,6.5
09_01_2,1
09_01_20,8.0
09_01_21,2
09_01_22,7.5
09_01_23,7.5
09_01_24,6.0
09_01_25,6.5
09_01_26,7.0
09_01_27,9
09_01_28,13.5
09_01_29,10.0
09_01_3,5.5
09_01_30,12.0
09_01_31,13.5
09_01_32,9
09_01_33,5.0
09_01_34,6.5
09_01_35,6.5
09_01_36,12.5
09_01_37,11.0
09_01_38,15.5
09_01_39,6.5
09_01_4,11.0
09_01_40,8.0
09_01_41,5.5
09_01_42,6.0
09_01_43,2.5
09_01_44,4.0
09_01_45,3.5
09_01_46,4.0
09_01_47,9.5
09_01_48,2
09_01_49,4.5
09_01_5,1
09_01_50,6.0
09_01_51,5.5
09_01_6,1.5
09_01_7,1
09_01_8,0.5
09_01_9,0
09_02_0,0.5
09_02_1,14.5
09_02_10,0
09_02_11,4.5
09_02_12,10.0
09_02_13,8.0
09_02_14,9.0
09_02_15,11.5
09_02_16,3
09_02_17,6.0
09_02_18,4.0
09_02_19,8.0
09_02_2,9.5
09_02_20,6.5
09_02_21,8.0
09_02_22,5.5
09_02_23,7.5
09_02_24,3
09_02_25,6.0
09_02_26,7.5
09_02_27,5.0
09_02_28,4
09_02_29,4.5
09_02_3,2.0
09_02_30,4.5
09_02_31,8.5
09_02_32,8.0
09_02_33,19.5
09_02_34,8.0
09_02_35,5.5
09_02_36,8.0
09_02_37,3.5
09_02_38,3
09_02_39,6
09_02_4,2.0
09_02_40,1
09_02_41,3.0
09_02_42,6.0
09_02_5,3
09_02_6,0.5
09_02_7,4
09_02_8,5.0
09_02_9,6.5
09_03_0,5.5
09_03_1,10.0
09_03_2,4.0
09_03_3,1.5
09_04_0,1.5
09_04_1,3.5
09_04_10,6.0
09_04_11,9.0
09_04_12,3.5
09_04_13,3.0
09_04_14,1.5
09_04_15,2
09_04_16,0.5
09_04_17,3.5
09_04_2,1.5
09_04_3,4.0
09_04_4,3.0
09_04_5,4.0
09_04_6,4.5
09_04_7,3.5
09_04_8,3.0
09_04_9,4.0
09_05_0,7.5
09_05_1,5
09_05_10,8.5
09_05_11,4.5
09_05_12,10.0
09_05_2,8.0
09_05_3,5.0
09_05_4,11.5
09_05_5,19.0
09_05_6,5.5
09_05_7,8.5
09_05_8,14.5
09_05_9,13.0
09_06_0,1.5
09_07_0,5.0
09_08_0,0
09_09_0,1.5
09_09_1,4.0
09_10_0,0.5
09_10_1,1
09_11_0,2
09_11_1,3.5
09_11_2,3
09_11_3,2.0
09_12_0,2.5
09_12_1,2
09_12_10,0.5
09_12_11,0
09_12_12,3
09_12_13,1
09_12_14,0
09_12_15,3.5
09_12_16,2
09_12_17,9
09_12_18,4
09_12_19,1.5
09_12_2,0
09_12_20,1
09_12_21,1
09_12_3,0.5
09_12_4,0
09_12_5,2
09_12_6,0
09_12_7,1.0
09_12_8,0
09_12_9,0.5
09_13_0,3
09_13_1,2.0
09_13_10,6.5
09_13_11,0
09_13_12,1
09_13_13,0
09_13_14,2
09_13_15,1
09_13_16,3.0
09_13_17,2
09_13_18,0.5
09_13_19,7.5
09_13_2,2.5
09_13_20,7.5
09_13_21,7
09_13_22,13.0
09_13_23,0.5
09_13_24,4
09_13_3,0.5
09_13_4,4
09_13_5,1.0
09_13_6,3
09_13_7,10.5
09_13_8,14.5
09_13_9,16.0
09_14_0,5.0
09_14_1,4.5
09_15_0,0
09_15_1,6.0
09_15_10,8.5
09_15_11,2
09_15_12,0
09_15_13,0.5
09_15_14,1.5
09_15_15,2.5
09_15_16,3.5
09_15_17,1
09_15_18,4
09_15_19,1.5
09_15_2,4
09_15_3,6.5
09_15_4,5.5
09_15_5,5.5
09_15_6,4.5
09_15_7,0
09_15_8,0
09_15_9,1.0
09_16_0,7.0
09_16_1,8.5
09_17_0,0
09_17_1,1.5
09_17_10,7.5
09_17_11,7.5
09_17_12,3.0
09_17_13,7.0
09_17_14,0
09_17_15,1.5
09_17_16,0
09_17_17,5.0
09_17_18,0
09_17_19,1.0
09_17_2,1
09_17_20,1.5
09_17_21,1.5
09_17_22,0.5
09_17_23,0.5
09_17_24,0
09_17_25,3.0
09_17_26,0
09_17_27,0
09_17_28,5.0
09_17_29,2
09_17_3,1.5
09_17_30,0.5
09_17_31,3.0
09_17_32,3
09_17_33,9
09_17_34,23.0
09_17_35,9.5
09_17_36,14.5
09_17_37,12.0
09_17_38,5.5
09_17_39,4.5
09_17_4,0
09_17_40,6.0
09_17_41,2
09_17_42,2.0
09_17_43,1
09_17_44,1.5
09_17_45,3.5
09_17_46,6.0
09_17_47,6.0
09_17_48,1.5
09_17_49,2
09_17_5,0
09_17_50,11.5
09_17_51,0
09_17_52,3.5
09_17_53,2
09_17_54,3.0
09_17_55,3.5
09_17_56,1.5
09_17_57,1.0
