id,violcount
02_46_8,0.5
02_46_9,0
02_47_0,3.0
02_47_1,0
02_47_2,0
02_47_3,0.5
02_47_4,0
02_47_5,0
02_48_0,0
02_48_1,0
02_48_10,1.0
02_48_11,1.5
02_48_12,0
02_48_13,1
02_48_14,1.0
02_48_15,2.5
02_48_16,0.5
02_48_17,5
02_48_18,5.5
02_48_19,2
02_48_2,0
02_48_20,1
02_48_21,0
02_48_22,0
02_48_23,0
02_48_24,1.5
02_48_3,2.5
02_48_4,0
02_48_5,1
02_48_6,1.5
02_48_7,1.0
02_48_8,1
02_48_9,0
02_49_0,1
02_49_1,2.5
02_49_2,4.0
02_49_3,6.5
02_49_4,2.5
02_50_0,0
02_50_1,0
02_50_10,3.0
02_50_11,1.5
02_50_12,1
02_50_2,3.0
02_50_3,0
02_50_4,4.0
02_50_5,0
02_50_6,4.0
02_50_7,0
02_50_8,0
02_50_9,0.5
02_51_0,0
02_51_1,0
02_51_10,1.0
02_51_11,2.5
02_51_12,7.0
02_51_2,0
02_51_3,1
02_51_4,2
02_51_5,2
02_51_6,1.5
02_51_7,1.0
02_51_8,0
02_51_9,0
02_52_0,0.5
02_52_1,6.0
02_52_2,0.5
02_53_0,1.5
02_53_1,2.0
02_53_10,1.5
02_53_11,0
02_53_12,1
02_53_13,0
02_53_14,0.5
02_53_2,0.5
02_53_3,2.5
02_53_4,0.5
02_53_5,1.5
02_53_6,1.5
02_53_7,3.0
02_53_8,0.5
02_53_9,1
02_54_0,0
02_54_1,1.5
02_55_0,0
02_55_1,1.0
02_56_0,1
02_56_1,6.5
02_56_2,5.5
02_57_0,1.5
02_58_0,0.5
02_58_1,1
02_58_2,1.5
02_58_3,0
02_58_4,0
02_58_5,0
02_58_6,1.5
02_59_0,5.5
02_59_1,1.0
02_59_2,2
02_60_0,2
02_61_0,0
02_61_1,2.0
02_61_10,0
02_61_11,1.5
02_61_12,5.0
02_61_13,5.0
02_61_2,3.0
02_61_3,1
02_61_4,1
02_61_5,2.5
02_61_6,0
02_61_7,4.5
02_61_8,1
02_61_9,2.5
