A	A	dt	A	a	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
West	West	n1	West	west	0
India	India	np1	India	India	0
.	.	.	.	.	1
Rubarbe	Rubarbe	n1	Rubarbe	rhubarb	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
and	and	cc	and	and	0
China	China	np1	China	China	0
.	.	.	.	.	1
