Source,Target,Type,Id,Label,timeset,Weight
2,876,Undirected,47170,,,0.383268
2,160,Undirected,47171,,,0.595362
2,669,Undirected,47172,,,0.502507
2,573,Undirected,47173,,,0.524954
2,904,Undirected,47174,,,0.373951
2,272,Undirected,47175,,,0.618413
2,503,Undirected,47176,,,0.546306
2,602,Undirected,47177,,,0.481167
2,231,Undirected,47178,,,0.589451
2,962,Undirected,47179,,,0.441086
2,769,Undirected,47180,,,0.541525
2,374,Undirected,47181,,,0.48785
2,444,Undirected,47182,,,0.516006
2,970,Undirected,47183,,,0.447397
2,294,Undirected,47184,,,0.557971
2,946,Undirected,47185,,,0.494236
2,213,Undirected,47186,,,0.427974
2,688,Undirected,47187,,,0.542061
2,986,Undirected,47188,,,0.398139
2,884,Undirected,47189,,,0.470413
2,485,Undirected,47190,,,0.441126
2,916,Undirected,47191,,,0.481873
2,129,Undirected,47192,,,0.568452
2,999,Undirected,47193,,,0.398022
2,219,Undirected,47194,,,0.528875
2,312,Undirected,47195,,,0.556304
2,1010,Undirected,47196,,,0.447253
2,689,Undirected,47197,,,0.551772
2,583,Undirected,47198,,,0.531554
2,1003,Undirected,47199,,,0.493981
2,805,Undirected,47200,,,0.483616
3,201,Undirected,47201,,,0.435286
3,258,Undirected,47202,,,0.466806
3,263,Undirected,47203,,,0.630045
3,122,Undirected,47204,,,0.696386
3,238,Undirected,47205,,,0.602051
3,130,Undirected,47206,,,0.595893
3,344,Undirected,47207,,,0.532529
3,365,Undirected,47208,,,0.513752
3,163,Undirected,47209,,,0.525916
3,393,Undirected,47210,,,0.405265
3,407,Undirected,47211,,,0.496627
3,351,Undirected,47212,,,0.550204
3,453,Undirected,47213,,,0.430715
3,457,Undirected,47214,,,0.68008
3,388,Undirected,47215,,,0.505698
3,397,Undirected,47216,,,0.616894
3,514,Undirected,47217,,,0.603262
3,560,Undirected,47218,,,0.51858
3,265,Undirected,47219,,,0.541547
3,430,Undirected,47220,,,0.600191
3,577,Undirected,47221,,,0.493174
3,239,Undirected,47222,,,0.714956
3,124,Undirected,47223,,,0.573184
3,627,Undirected,47224,,,0.661968
3,199,Undirected,47225,,,0.587359
3,650,Undirected,47226,,,0.522671
3,257,Undirected,47227,,,0.47763
3,329,Undirected,47228,,,0.557767
3,382,Undirected,47229,,,0.539912
3,7,Undirected,47230,,,0.738373
3,686,Undirected,47231,,,0.526502
3,35,Undirected,47232,,,0.633062
3,721,Undirected,47233,,,0.496534
3,723,Undirected,47234,,,0.51533
3,752,Undirected,47235,,,0.41611
3,754,Undirected,47236,,,0.398032
3,162,Undirected,47237,,,0.558236
3,117,Undirected,47238,,,0.638121
3,455,Undirected,47239,,,0.510867
3,492,Undirected,47240,,,0.389925
3,785,Undirected,47241,,,0.525404
3,628,Undirected,47242,,,0.6112
3,395,Undirected,47243,,,0.518431
3,513,Undirected,47244,,,0.510088
3,546,Undirected,47245,,,0.507002
3,54,Undirected,47246,,,0.68487
3,203,Undirected,47247,,,0.562761
3,392,Undirected,47248,,,0.507358
3,125,Undirected,47249,,,0.556021
3,53,Undirected,47250,,,0.65969
3,48,Undirected,47251,,,0.640241
3,770,Undirected,47252,,,0.434137
3,51,Undirected,47253,,,0.513519
3,853,Undirected,47254,,,0.545407
3,387,Undirected,47255,,,0.5142
3,657,Undirected,47256,,,0.463068
3,206,Undirected,47257,,,0.608608
3,871,Undirected,47258,,,0.467994
3,105,Undirected,47259,,,0.691966
3,160,Undirected,47260,,,0.619202
3,669,Undirected,47261,,,0.488376
3,52,Undirected,47262,,,0.640792
3,456,Undirected,47263,,,0.502379
3,205,Undirected,47264,,,0.663546
3,892,Undirected,47265,,,0.362001
3,207,Undirected,47266,,,0.587592
3,313,Undirected,47267,,,0.575197
3,394,Undirected,47268,,,0.542075
3,561,Undirected,47269,,,0.633972
3,297,Undirected,47270,,,0.591974
3,127,Undirected,47271,,,0.572228
3,849,Undirected,47272,,,0.463514
3,47,Undirected,47273,,,0.630933
3,573,Undirected,47274,,,0.542906
3,6,Undirected,47275,,,0.718901
3,544,Undirected,47276,,,0.696848
3,315,Undirected,47277,,,0.557599
3,146,Undirected,47278,,,0.659298
3,114,Undirected,47279,,,0.635394
3,330,Undirected,47280,,,0.565108
3,45,Undirected,47281,,,0.58884
3,128,Undirected,47282,,,0.564526
3,328,Undirected,47283,,,0.49355
3,448,Undirected,47284,,,0.592649
3,503,Undirected,47285,,,0.526504
3,548,Undirected,47286,,,0.595886
3,10,Undirected,47287,,,0.674796
3,50,Undirected,47288,,,0.638935
3,930,Undirected,47289,,,0.396607
3,310,Undirected,47290,,,0.543032
3,327,Undirected,47291,,,0.530538
3,405,Undirected,47292,,,0.521378
3,898,Undirected,47293,,,0.452922
3,568,Undirected,47294,,,0.610593
3,551,Undirected,47295,,,0.506719
3,542,Undirected,47296,,,0.619986
3,370,Undirected,47297,,,0.577014
3,527,Undirected,47298,,,0.657287
3,16,Undirected,47299,,,0.47956
3,463,Undirected,47300,,,0.450146
3,877,Undirected,47301,,,0.3943
3,959,Undirected,47302,,,0.548596
3,264,Undirected,47303,,,0.615907
3,118,Undirected,47304,,,0.696286
3,972,Undirected,47305,,,0.503922
3,4,Undirected,47306,,,0.735865
3,143,Undirected,47307,,,0.734999
3,37,Undirected,47308,,,0.730383
3,195,Undirected,47309,,,0.728744
3,74,Undirected,47310,,,0.715392
3,9,Undirected,47311,,,0.714173
3,614,Undirected,47312,,,0.528638
3,121,Undirected,47313,,,0.627709
3,946,Undirected,47314,,,0.511684
3,980,Undirected,47315,,,0.530823
3,856,Undirected,47316,,,0.446822
3,244,Undirected,47317,,,0.656791
3,261,Undirected,47318,,,0.674481
3,608,Undirected,47319,,,0.604136
3,916,Undirected,47320,,,0.477758
3,995,Undirected,47321,,,0.434017
3,132,Undirected,47322,,,0.66633
3,1000,Undirected,47323,,,0.463218
3,939,Undirected,47324,,,0.597924
3,550,Undirected,47325,,,0.495084
3,1006,Undirected,47326,,,0.448924
3,219,Undirected,47327,,,0.537168
3,312,Undirected,47328,,,0.569951
3,262,Undirected,47329,,,0.687997
3,552,Undirected,47330,,,0.474338
3,689,Undirected,47331,,,0.56119
3,750,Undirected,47332,,,0.527469
3,237,Undirected,47333,,,0.597172
3,202,Undirected,47334,,,0.625378
3,1003,Undirected,47335,,,0.515818
3,585,Undirected,47336,,,0.573971
3,446,Undirected,47337,,,0.587699
4,113,Undirected,47338,,,0.567651
4,142,Undirected,47339,,,0.522754
4,120,Undirected,47340,,,0.651716
4,263,Undirected,47341,,,0.597106
4,122,Undirected,47342,,,0.68869
4,238,Undirected,47343,,,0.586965
4,130,Undirected,47344,,,0.572715
4,344,Undirected,47345,,,0.489627
4,365,Undirected,47346,,,0.535868
4,368,Undirected,47347,,,0.499409
4,372,Undirected,47348,,,0.390155
4,163,Undirected,47349,,,0.534044
4,353,Undirected,47350,,,0.580795
4,351,Undirected,47351,,,0.536965
4,433,Undirected,47352,,,0.521355
4,443,Undirected,47353,,,0.488655
4,304,Undirected,47354,,,0.644913
4,457,Undirected,47355,,,0.673698
4,490,Undirected,47356,,,0.475627
4,388,Undirected,47357,,,0.504513
4,397,Undirected,47358,,,0.595756
4,514,Undirected,47359,,,0.628102
4,406,Undirected,47360,,,0.518245
4,558,Undirected,47361,,,0.597324
4,355,Undirected,47362,,,0.620625
4,559,Undirected,47363,,,0.523949
4,572,Undirected,47364,,,0.56787
4,192,Undirected,47365,,,0.627311
4,430,Undirected,47366,,,0.603294
4,577,Undirected,47367,,,0.4761
4,239,Undirected,47368,,,0.713517
4,124,Undirected,47369,,,0.578757
4,603,Undirected,47370,,,0.471095
4,422,Undirected,47371,,,0.51656
4,618,Undirected,47372,,,0.579187
4,627,Undirected,47373,,,0.643567
4,362,Undirected,47374,,,0.576938
4,635,Undirected,47375,,,0.395329
4,199,Undirected,47376,,,0.581273
4,650,Undirected,47377,,,0.483037
4,257,Undirected,47378,,,0.483863
4,667,Undirected,47379,,,0.45946
4,524,Undirected,47380,,,0.490064
4,316,Undirected,47381,,,0.464587
4,329,Undirected,47382,,,0.573862
4,686,Undirected,47383,,,0.526419
4,714,Undirected,47384,,,0.45302
4,715,Undirected,47385,,,0.412805
4,115,Undirected,47386,,,0.668945
4,721,Undirected,47387,,,0.505483
4,723,Undirected,47388,,,0.542231
4,319,Undirected,47389,,,0.550032
4,117,Undirected,47390,,,0.658858
4,537,Undirected,47391,,,0.5794
4,767,Undirected,47392,,,0.534104
4,538,Undirected,47393,,,0.449456
4,731,Undirected,47394,,,0.370614
4,746,Undirected,47395,,,0.441234
4,233,Undirected,47396,,,0.646788
4,628,Undirected,47397,,,0.634871
4,395,Undirected,47398,,,0.525522
4,797,Undirected,47399,,,0.46727
4,801,Undirected,47400,,,0.383776
4,513,Undirected,47401,,,0.51423
4,546,Undirected,47402,,,0.534026
4,54,Undirected,47403,,,0.668444
4,125,Undirected,47404,,,0.551895
4,53,Undirected,47405,,,0.632725
4,253,Undirected,47406,,,0.615867
4,48,Undirected,47407,,,0.630579
4,841,Undirected,47408,,,0.436154
4,825,Undirected,47409,,,0.514903
4,51,Undirected,47410,,,0.523736
4,604,Undirected,47411,,,0.542788
4,854,Undirected,47412,,,0.44045
4,387,Undirected,47413,,,0.511235
4,857,Undirected,47414,,,0.45882
4,861,Undirected,47415,,,0.487585
4,863,Undirected,47416,,,0.421918
4,868,Undirected,47417,,,0.398149
4,871,Undirected,47418,,,0.457713
4,144,Undirected,47419,,,0.606412
4,105,Undirected,47420,,,0.705501
4,481,Undirected,47421,,,0.38799
4,160,Undirected,47422,,,0.652007
4,52,Undirected,47423,,,0.635373
4,456,Undirected,47424,,,0.517287
4,883,Undirected,47425,,,0.433389
4,260,Undirected,47426,,,0.644264
4,207,Undirected,47427,,,0.570324
4,313,Undirected,47428,,,0.570632
4,394,Undirected,47429,,,0.520586
4,297,Undirected,47430,,,0.620663
4,127,Undirected,47431,,,0.530804
4,47,Undirected,47432,,,0.616535
4,8,Undirected,47433,,,0.702022
4,529,Undirected,47434,,,0.592174
4,573,Undirected,47435,,,0.532856
4,584,Undirected,47436,,,0.531621
4,6,Undirected,47437,,,0.717788
4,315,Undirected,47438,,,0.523517
4,906,Undirected,47439,,,0.487544
4,693,Undirected,47440,,,0.498009
4,146,Undirected,47441,,,0.659786
4,114,Undirected,47442,,,0.646451
4,330,Undirected,47443,,,0.55233
4,272,Undirected,47444,,,0.647878
4,837,Undirected,47445,,,0.528432
4,503,Undirected,47446,,,0.55878
4,255,Undirected,47447,,,0.62879
4,548,Undirected,47448,,,0.619379
4,208,Undirected,47449,,,0.603146
4,50,Undirected,47450,,,0.639075
4,119,Undirected,47451,,,0.753868
4,310,Undirected,47452,,,0.556359
4,327,Undirected,47453,,,0.546287
4,649,Undirected,47454,,,0.426118
4,508,Undirected,47455,,,0.64697
4,568,Undirected,47456,,,0.6226
4,551,Undirected,47457,,,0.517026
4,116,Undirected,47458,,,0.714651
4,542,Undirected,47459,,,0.637365
4,370,Undirected,47460,,,0.574659
4,307,Undirected,47461,,,0.507576
4,960,Undirected,47462,,,0.410644
4,402,Undirected,47463,,,0.593011
4,961,Undirected,47464,,,0.378563
4,769,Undirected,47465,,,0.55783
4,553,Undirected,47466,,,0.510776
4,16,Undirected,47467,,,0.509836
4,964,Undirected,47468,,,0.493078
4,966,Undirected,47469,,,0.464957
4,264,Undirected,47470,,,0.663567
4,842,Undirected,47471,,,0.536466
4,969,Undirected,47472,,,0.433293
4,789,Undirected,47473,,,0.614598
4,118,Undirected,47474,,,0.702097
4,411,Undirected,47475,,,0.507002
4,567,Undirected,47476,,,0.432986
4,314,Undirected,47477,,,0.557457
4,614,Undirected,47478,,,0.526895
4,975,Undirected,47479,,,0.561733
4,692,Undirected,47480,,,0.467874
4,108,Undirected,47481,,,0.542018
4,121,Undirected,47482,,,0.643673
4,946,Undirected,47483,,,0.493926
4,502,Undirected,47484,,,0.436081
4,980,Undirected,47485,,,0.539519
4,688,Undirected,47486,,,0.539675
4,195,Undirected,47487,,,0.751111
4,235,Undirected,47488,,,0.741928
4,143,Undirected,47489,,,0.73919
4,7,Undirected,47490,,,0.729087
4,37,Undirected,47491,,,0.710279
4,651,Undirected,47492,,,0.466916
4,244,Undirected,47493,,,0.643824
4,765,Undirected,47494,,,0.506507
4,991,Undirected,47495,,,0.458928
4,608,Undirected,47496,,,0.607739
4,965,Undirected,47497,,,0.477451
4,191,Undirected,47498,,,0.52908
4,332,Undirected,47499,,,0.495752
4,998,Undirected,47500,,,0.480883
4,133,Undirected,47501,,,0.655613
4,489,Undirected,47502,,,0.5972
4,668,Undirected,47503,,,0.467339
4,747,Undirected,47504,,,0.521027
4,132,Undirected,47505,,,0.673644
4,939,Undirected,47506,,,0.573615
4,938,Undirected,47507,,,0.469731
4,550,Undirected,47508,,,0.502435
4,219,Undirected,47509,,,0.551212
4,312,Undirected,47510,,,0.577072
4,262,Undirected,47511,,,0.685574
4,1011,Undirected,47512,,,0.487019
4,389,Undirected,47513,,,0.567989
4,552,Undirected,47514,,,0.478591
4,454,Undirected,47515,,,0.488346
4,689,Undirected,47516,,,0.586632
4,237,Undirected,47517,,,0.581354
4,202,Undirected,47518,,,0.607816
4,1003,Undirected,47519,,,0.497872
4,762,Undirected,47520,,,0.619727
4,585,Undirected,47521,,,0.612993
4,805,Undirected,47522,,,0.479444
4,510,Undirected,47523,,,0.54248
4,446,Undirected,47524,,,0.578999
5,209,Undirected,47525,,,0.624281
5,68,Undirected,47526,,,0.688546
5,236,Undirected,47527,,,0.55128
5,72,Undirected,47528,,,0.644047
5,320,Undirected,47529,,,0.515769
